job,location,date
剪辑助理（实习生）,北京,3月31
实习编剧,上海,3月30
场记（实习职位）,北京,3月30
编导助理（实习生）,北京,3月29
新媒体运营实习生,北京,3月29
（实习）影视广告微电影创意文案策划(创意型),北京,3月28
课程顾问/招生顾问/实习生,创意型),3月28
剪辑实习助理,北京,3月28
文学策划实习生,北京,3月26
日语翻译实习生,北京,3月26
宣传助理实习生,北京,3月26
发行助理实习生,北京,3月26
实习录音师,北京,3月26
财务实习生,北京,3月25
制片实习生,北京,3月25
实习生（编剧/剧本创作）,北京,3月25
剪辑实习生,北京,3月25
合成师-实习生,北京,3月23
剪辑实习生,北京,3月22
极限运动影片实习生,北京,3月21
后期剪辑实习生,北京,3月21
编导（或实习生）,北京,3月20
后期剪辑实习生,上海,3月17
实习生,北京,3月17
视觉设计实习生,广州,3月16
人事行政（应届生/实习生）,上海,3月15
后期助理（实习生）,杭州,3月14
新媒体营销2名（实习/正职）,成都,3月13
影视后期助理（实习生）,深圳,3月13
音频内容编导实习生,北京,3月12
实习生-短视频后期剪辑,深圳,3月12
后期实习生,北京,3月9日
宣传实习生,北京,3月8日
（摄影方向）实习培训生,北京,3月8日
大型现场制作前后期实习生,北京,3月3日
影视制作实习,北京,3月3日
实习生,北京,3月2日
实习生,广州,2月28
项目运营（正式岗1名实习岗1-2名）,广州,2月28
实习生,北京,2月28
视频摄制编导（正式岗1名，实习1-2名）,北京,2月28
项目执行（实习生）,北京,2月26
投资助理实习生（北京）,北京,2月26
实习生（编剧/剧本创作）,北京,2月26
招电视栏目实习生,北京,2月25
后期实习生,北京,2月24
实习生,北京,2月24
上海实习生,北京,2月24
新媒体运营实习生,北京,2月23
剪辑实习生,北京,2月9日
影视&投资,上海,2月6日
实习编剧,北京,2月5日
视频制作实习生,北京,2月5日
器材编辑实习生,北京,2月5日
《张爱玲》项目专员&实习生,北京,2月2日
文化项目负责人&专员&实习生,北京,2月2日
后期实习生,北京,2月2日
剧本统筹实习生,上海,2月2日
编剧助理,上海,1月30
前台行政（毕业前为实习岗）,北京,1月25
制片实习生,北京,1月19
实习编剧,北京,1月18
调研中心实习生,北京,1月18
影视特效合成实习生,北京,1月12
INTERN,北京,1月8日
剪辑实习生,北京,1月6日
剪辑实习生,北京,1月6日
实习生-项目助理,北京,1月3日
编剧助理,深圳,2017
实习编剧,深圳,2017
策划实习生急,北京,2017
公关部门实习生,北京,2017
实习生（采编，行政，数字营销，社群运营）,石家庄,2017
艺人宣传实习生,北京,2017
影视宣传实习生,北京,2017
创意策划实习生,上海,2017
新媒体运营实习,北京,2017
财务实习生,北京,2017
公益视频实习生,北京,2017
摄像实习生,北京,2017
行政实习生,北京,2017
真人秀剪辑实习生,深圳,2017
行政助理（实习生）,上海,2017
特效师（含初级和实习）,北京,2017
实习编剧,北京,2017
实习生,上海,2017
实习生,北京,2017
摄像实习生,北京,2017
剪辑实习生,北京,2017
后期实习生,北京,2017
编导实习生,北京,2017
Premiere剪辑/PR剪辑实习生,北京,2017
实习生,北京,2017
平面设计师实习生,北京,2017
影视实习生,哈尔滨,2017
新媒体运营编辑（应届生/实习生）,铜仁,2017
实习生,广州,2017
动画特效实习生,广州,2017
运营实习生,北京,2017
视频实习生（综艺搞笑类）,武汉,2017
视频运营策划实习生（腾讯视频）,北京,2017
主播运营实习生,北京,2017
影视宣传实习生,广州,2017
新媒体实习生,广州,2017
实习生,北京,2017
影视前后期实习生,上海,2017
编剧实习生,上海,2017
发行实习生（全职）,上海,2017
宣传实习生（全职）,上海,2017
栏目制片（正职/实习）,北京,2017
文案策划（实习/正职）,上海,2017
剪辑实习生,上海,2017
实习导演,北京,2017
影视后期合成实习生,北京,2017
新媒体运营（偏电视编导/选角导演方向）【接受实习生】,北京,2017
包装组,北京,2017
摄影实习生,北京,2017
编导实习生,北京,2017
实习编导,北京,2017
市场助理/实习生,上海,2017
影视部实习生,上海,2017
摄像实习岗位,北京,2017
实习营销助理,北京,2017
实习英文文案,上海,2017
动画包装（实习）,长沙,2017
运营活动实习生,北京,2017
实习生,广州,2017
摄像（实习/正职）,长沙,2017
策划（可接受实习）,北京,2017
剪辑师（可接受实习）,上海,2017
实习策划,北京,2017
项目助理实习生,北京,2017
编导（实习生）,北京,2017
剪辑（实习生）,广州,2017
摄影（实习生）,北京,2017
影视实习生,上海,2017
影视制作实习生,上海,2017
内容编辑实习生,上海,2017
编导（实习生）,北京,2017
实习生（影视项目）,北京,2017
全职实习生,北京,2017
品牌部实习生,北京,2017
影视概念设计实习生,北京,2017
模型材质实习生,北京,2017
三维动画实习生,北京,2017
动画特效实习生,北京,2017
编剧文案（可实习）,佛山,2017
实习生（影视项目调研）,佛山,2017
市场新媒体编辑实习生,北京,2017
主播运营实习生,深圳,2017
市场新媒体编辑实习生,北京,2017
后期剪辑实习生,北京,2017
动画制作实习生,北京,2017
制片人助理（实习）,北京,2017
媒资库实习生【电视/综艺/影视/偶像/英/韩/日/法/德语等外语】,上海,2017
编剧实习生,深圳,2017
实习生,北京,2017
营销策划（实习）,上海,2017
影视制作/新媒体运营实习生,北京,2017
编剧/文案策划/新媒体运营实习生,上海,2017
影视后期制作,成都,2017
影视后期制作,北京,2017
文案策划实习生,北京,2017
视频剪辑兼人事实习生,北京,2017
实习视频剪辑,北京,2017
文案策划实习生,广州,2017
影视制作实习生,广州,2017
影视制作实习生,广州,2017
文案策划实习生,广州,2017
实习剪辑师,广州,2017
实习摄像师,上海,2017
后期合成、抠像(实习),上海,2017
艺人宣传实习生,深圳,2017
影视后期实习生,深圳,2017
艺术电影文案策划一名【实习】,实习),2017
运营助理,北京,2017
编剧实习生,哈尔滨,2017
音频实习生,北京,2017
剪辑实习生,北京,2017
（实习生）多名,北京,2017
影视宣发实习生,北京,2017
摄像实习生,北京,2017
导演/编导（实习）,北京,2017
影视后期实习生,北京,2017
实习大学生,重庆,2017
数据编辑实习生,上海,2017
摄像助理（实习）,济南,2017
后期剪辑实习生,苏州,2017
项目运作及策划【实习生】,北京,2017
项目运作及策划,上海,2017
影视后期实习生,广州,2017
实习生,上海,2017
实习生,上海,2017
后期编导实习生,武汉,2017
网站编辑实习生,北京,2017
网站编辑实习生（娱乐产经网）,北京,2017
新媒体文案（实习生）,北京,2017
平面设计实习生,北京,2017
摄影助理（实习生）,北京,2017
制片组实习生,北京,2017
剧本统筹实习生,北京,2017
实习生,厦门,2017
后期包装/实习,北京,2017
实习生（影视编导、制片助理）,北京,2017
roto实习生,北京,2017
创意策划（实习）,武汉,2017
美术（实习生）,北京,2017
实习剪辑,北京,2017
有想法的实习编导，面议,北京,2017
新媒体专员|实习生,北京,2017
美工|美工实习生,北京,2017
制片助理／实习,北京,2017
VR开发工程师（UE4）,北京,2017
摄像助理/实习生,北京,2017
影视后期实习生,成都,2017
人事行政（应届生/实习生）,北京,2017
实习后期,武汉,2017
文员秘书/助理（应届生/实习生）,杭州,2017
商务策划实习生,北京,2017
文案策划实习生,深圳,2017
设计实习生,北京,2017
实习生,北京,2017
实习生,北京,2017
影视实习生,北京,2017
文案策划（实习岗）,北京,2017
新媒体推广/运营（实习）,温州,2017
传媒类实习生,温州,2017
人力资源部实习生,北京,2017
影视制片实习,北京,2017
实习生,北京,2017
新媒体运营（实习）,北京,2017
剪刀手（实习生）,成都,2017
摄像实习生,温州,2017
项目开发实习生,北京,2017
后期剪辑实习生,成都,2017
实习制片,长沙,2017
编导实习生,北京,2017
视频剪辑实习生（足球）,广州,2017
剪辑师（实习）,深圳,2017
创意文案（实习生）,杭州,2017
视频后期,北京,2017
剪辑助理(实习生,成都,2017
编剧实习生,北京,2017
前期编导（实习生）,深圳,2017
视频后期（实习）,实习生 应届毕业生方向),2017
创意开发部门实习生,北京,2017
实习生或助理,北京,2017
初级电影后期合成师（实习）,成都,2017
音频后期实习生,上海,2017
影视策划（可实习）,北京,2017
编导（可实习）,深圳,2017
影视信息录入实习生,北京,2016
行政助理实习生,北京,2016
包装助理（实习生）,北京,2016
摄影摄像师（实习）,北京,2016
后期剪辑,北京,2016
创意策划（实习）,北京,2016
实习导演助理（可转正）,上海,2016
编剧助理（实习生）,上海,2016
影视编导（实习）,上海,2016
平面设计（实习）,广州,2016
文案策划实习/正职,北京,2016
在校剧本策划实习生,上海,2016
影视后期剪辑（实习）,上海,2016
后期实习生,北京,2016
影视专业实习生,上海,2016
实习后期剪辑、编导、文案,成都,2016
新媒体实习生,北京,2016
编剧助理,上海,2016
导演实习生,北京,2016
"后期合成、抠像,实习生",北京,2016
后期合成/MG动画师（实习）,北京,2016
编导实习,北京,2016
影视后期实习生,北京,2016
剪辑实习生,济南,2016
平面设计实习生,杭州,2016
实习导演,北京,2016
纪录片摄影助理（实习生）,北京,2016
行政实习生,杭州,2016
急聘正规高校录音系实习生及毕业生（无地域限制）,上海,2016
编剧实习生,上海,2016
直播节目编导（实习生）,北京,2016
影视后期实习生,成都,2016
实习生（广州）,北京,2016
（实习生）编导,北京,2016
剪辑助理(实习、全职皆可),北京,2016
文案策划,广州,2016
制片/编导,深圳,2016
宣传策划,实习、全职皆可),2016
